"","Estimate","Std. Error","t value","Pr(>|t|)"
"rama2d_r427",0.334589083174597,0.797921394528678,0.419325870278531,0.674980177300566
"rama2d_r428",0.438837714160893,0.812993984401708,0.539779780146638,0.58935182871805
"rama2d_r429",0.320895170524868,0.806715786924519,0.397779708450025,0.690794635806599
"rama2d_r430",0.275169986584963,0.828680770668216,0.332057888061137,0.739847236361275
"rama2d_r431",-0.187782762777097,0.780341333788698,-0.240641825116937,0.809833927524341
"rama2d_r432",-0.414148612280464,0.785969515768169,-0.526927067744727,0.598247071647434
"rama2d_r433",0.226964956721165,0.785107146617721,0.289087875074046,0.772515585702703
"rama2d_r435",0.439248267176257,0.783150695283905,0.560873239111436,0.574887002874231
"rama2d_r436",0.356601582813983,0.78531668921992,0.454086342120408,0.649769073877816
"rama2d_r437",0.485010917411162,1.22913122940347,0.394596529490632,0.69314271664418
"rama2d_r438",-0.424535842558821,0.78085600308896,-0.54368006505606,0.586664593010755
"rama2d_r439",0.244308968861404,1.09940358031807,0.222219549977017,0.824144076770593
"rama2d_r441",-0.0729360489982203,0.777843574110901,-0.0937669878954627,0.925294711668834
"rama2d_r442",0.22338662111688,0.780022298787164,0.286384916769966,0.774584765023695
"rama2d_r443",0.0260515981522311,0.779175015258484,0.0334348479379677,0.973327982432361
"rama2d_r445",-0.0633209779619876,0.778301919317314,-0.0813578591936783,0.935157756440583
"rama2d_r446",0.227290116406624,0.778520035097668,0.291951531315581,0.77032515179678
"rama2d_r447",-0.297538879419087,0.777574308710893,-0.382650090269011,0.701981197941864
"rama2d_r449",-0.158801544456784,0.77777697615056,-0.204173624735896,0.83821882955738
"rama2d_r450",0.162564148760074,0.79948062915853,0.203337195212818,0.838872488808391
"rama2d_r451",0.493696499449432,0.810004083071909,0.609498778792704,0.54219724124083
"rama2d_r452",-0.11307588627774,0.779664036110651,-0.145031553387813,0.884686668225371
"rama2d_r453",-0.0142385467421327,0.780182455232634,-0.0182502780556466,0.985439281541202
"rama2d_r455",0.136925913988351,0.779732169891877,0.175606341863947,0.860604082244986
"rama2d_r456",-0.293490916469627,0.777790999762997,-0.37733904938352,0.705923598652507
"rama2d_r458",0.565554776860946,0.831053377381294,0.680527619829966,0.496174261618648
"rama2d_r459",0.478856692883618,0.819428373755313,0.584378950278586,0.558968583613666
"rama2d_r460",0.419523113806467,0.80403211971069,0.521774072853484,0.601830447105735
"rama2d_r461",0.167504254196869,0.782381009951918,0.214095500870047,0.830473643175344
"rama2d_r462",0.602937055423534,0.786951814961644,0.766167691541471,0.443580916854542
"rama2d_r463",0.243832409175255,0.876992452954756,0.278032505700291,0.780988800593708
"rama2d_r464",0.391443182400117,0.780246130670798,0.501691923885073,0.615886925673292
"rama2d_r465",0.522223736319866,0.784125321083394,0.665995246267944,0.505417865698659
"rama2d_r466",0.46632583271259,0.847120173598333,0.55048368253558,0.581990648758478
"rama2d_r468",0.121608144762261,0.779609950455491,0.155985880748713,0.876044914339469
"rama2d_r469",0.228920296902551,0.780651338387753,0.293242688054991,0.769338133296102
"rama2d_r470",0.466455698345306,0.791133297675228,0.589604431662783,0.555459111330288
"rama2d_r471",0.434054908795174,0.783424425784255,0.554048220235997,0.579548850871157
"rama2d_r472",0.792482602408442,0.826533283483958,0.958803012829698,0.337663614524389
"rama2d_r473",0.35560885889806,0.785212259911592,0.452882458735551,0.650635766176913
"rama2d_r474",0.134791870299031,0.785274418779417,0.171649384056777,0.863714023297561
"rama2d_r475",-0.0195800021852626,0.799069102242978,-0.0245035155661779,0.980451098148291
"rama2d_r477",0.104568250058268,0.790083733597206,0.132350845374547,0.894707438238896
"rama2d_r478",0.359210664643391,0.798291792133536,0.449974142516679,0.652731451496777
"rama2d_r479",0.250915474374871,0.792765679882081,0.316506479458335,0.751619710535559
"rama2d_r480",0.1562029623952,0.781409324873587,0.19989902529058,0.841560538815565
"rama2d_r481",-0.369144872600201,0.7785719400366,-0.474130717558159,0.635409206321484
